mindists:50 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.46322328033
mindists:50 ,param2:35 ,minRadius:70 ,Mean Jaccard: 0.543722364276
mindists:50 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.505040012066
mindists:50 ,param2:20 ,minRadius:80 ,Mean Jaccard: 0.455465435612
mindists:50 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.642201868719
mindists:40 ,param2:15 ,minRadius:60 ,Mean Jaccard: 0.645333970608
mindists:50 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.503416928236
mindists:50 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.642301772857
mindists:50 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.455300986074
mindists:50 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.438801156419
